REGION TYPE,REGION,YEAR,WEEKS,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B,WEEK
National,X,2018,40,16492,218,69,1.74024,1.32185,0.418385,201840
National,X,2018,41,17980,222,81,1.68521,1.23471,0.450501,201841
National,X,2018,42,20128,311,89,1.98728,1.54511,0.44217,201842
National,X,2018,43,21302,337,98,2.04206,1.58201,0.460051,201843
National,X,2018,44,22281,389,98,2.18572,1.74588,0.439837,201844
National,X,2018,45,23304,543,95,2.73773,2.33007,0.407655,201845
National,X,2018,46,24288,667,99,3.15382,2.74621,0.407609,201846
National,X,2018,47,24511,893,72,3.93701,3.64326,0.293746,201847
National,X,2018,48,28063,998,103,3.92332,3.55628,0.367031,201848
National,X,2018,49,28835,1658,147,6.25975,5.74996,0.509797,201849
National,X,2018,50,32892,3235,188,10.4068,9.83522,0.571568,201850
National,X,2018,51,38138,5282,179,14.3191,13.8497,0.469348,201851
National,X,2018,52,43057,6835,231,16.4108,15.8743,0.536498,201852
National,X,2019,1,44050,5221,135,12.1589,11.8524,0.30647,201901
National,X,2019,2,39945,4849,204,12.6499,12.1392,0.510702,201902
National,X,2019,3,40133,6322,166,16.1662,15.7526,0.413625,201903
National,X,2019,4,41985,7840,227,19.214,18.6733,0.540669,201904
National,X,2019,5,46331,10170,259,22.5098,21.9507,0.559021,201905
National,X,2019,6,47302,11699,316,25.4006,24.7326,0.668048,201906
National,X,2019,7,38208,9936,274,26.7222,26.005,0.717127,201907
,,2019,8,0,0,0,NA,NA,NA,201908
,,2019,9,0,0,0,NA,NA,NA,201909
,,2019,10,0,0,0,NA,NA,NA,201910
,,2019,11,0,0,0,NA,NA,NA,201911
,,2019,12,0,0,0,NA,NA,NA,201912
,,2019,13,0,0,0,NA,NA,NA,201913
,,2019,14,0,0,0,NA,NA,NA,201914
,,2019,15,0,0,0,NA,NA,NA,201915
,,2019,16,0,0,0,NA,NA,NA,201916
,,2019,17,0,0,0,NA,NA,NA,201917
,,2019,18,0,0,0,NA,NA,NA,201918
