"","state","count"
"1","alabama",16
"2","arizona",33
"3","arkansas",48
"4","california",244
"5","colorado",35
"6","connecticut",28
"7","delaware",6
"8","district of columbia",104
"9","florida",102
"10","georgia",149
"11","idaho",17
"12","illinois",96
"13","indiana",43
"14","iowa",16
"15","kansas",65
"16","kentucky",18
"17","louisiana",29
"18","maine",31
"19","maryland",78
"20","massachusetts",90
"21","michigan",236
"22","minnesota",34
"23","mississippi",11
"24","missouri",79
"25","montana",31
"26","nebraska",13
"27","nevada",33
"28","new hampshire",14
"29","new jersey",67
"30","new mexico",14
"31","new york",174
"32","north carolina",105
"33","north dakota",21
"34","ohio",118
"35","oklahoma",31
"36","oregon",121
"37","pennsylvania",123
"38","rhode island",8
"39","south carolina",28
"40","south dakota",7
"41","tennessee",32
"42","texas",179
"43","utah",16
"44","vermont",7
"45","virginia",89
"46","washington",34
"47","west virginia",5
"48","wisconsin",34
"49","wyoming",26
"50","alaska",2
"51","hawaii",4
